File Version=BWSpec4.04_00
Rseponse Ratio File Version=1.0
CCode=RSM
Int.Time=16000
LowNoiseModeTimeGate=2100000001
P_Number=512
Standard Name=SRM 2244  ( Raman)
Start Pixe=39
End Pixel=500
Start WN=95
End WN=2504
Standard Coefs Order=5
Coefs_C0=0.405953
Coefs_C1=5.20345E-04
Coefs_C2=5.30390E-07
Coefs_C3=-6.84463E-10
Coefs_C4=2.10286E-13
Coefs_C5=2.10286E-13
Pixel   ;  Ratio
0;-1700.73569713779;-1700.73569713779
1;-153.296682365439;-153.296682365439
2;-544.885487192342;-544.885487192342
3;-283.590058472116;-283.590058472116
4;-140.290777360961;-140.290777360961
5;-416.617958403878;-416.617958403878
6;-169.488217585468;-169.488217585468
7;-165.66714969287;-165.66714969287
8;-189.119544717325;-189.119544717325
9;-303.493059726671;-303.493059726671
10;-254.084447449044;-254.084447449044
11;-145.705529805637;-145.705529805637
12;-688.214222221455;-688.214222221455
13;-292.406596934092;-292.406596934092
14;-4458.78068695016;-4458.78068695016
15;-359.658752206123;-359.658752206123
16;-370.08059550361;-370.08059550361
17;962.529702636722;962.529702636722
18;310.00321706166;310.00321706166
19;300.084516951203;300.084516951203
20;118.038498738004;118.038498738004
21;79.5535611398694;79.5535611398694
22;36.8765106769294;36.8765106769294
23;10.350639784046;10.350639784046
24;1.0492198194734;1.0492198194734
25;0.320733537521014;0.320733537521014
26;0.501229778656748;0.501229778656748
27;5.50197162219492;5.50197162219492
28;27.6583101666887;27.6583101666887
29;51.1886718319285;51.1886718319285
30;82.6321955319432;82.6321955319432
31;100.351785632764;100.351785632764
32;120.189957900345;120.189957900345
33;124.88316431726;124.88316431726
34;97.2565229387914;97.2565229387914
35;67.9139133590047;67.9139133590047
36;28.6361857382538;28.6361857382538
37;19.0435682915088;19.0435682915088
38;15.9557238767758;15.9557238767758
39;14.1358266409723;14.1358266409723
40;10.3401579324863;10.3401579324863
41;7.820527402072;7.820527402072
42;5.55122089929895;5.55122089929895
43;4.06128139162572;4.06128139162572
44;2.90949816266982;2.90949816266982
45;2.13364453680879;2.13364453680879
46;1.61662103786066;1.61662103786066
47;1.28871920785862;1.28871920785862
48;1.08208140625785;1.08208140625785
49;0.962797867970803;0.962797867970803
50;0.885598824586901;0.885598824586901
51;0.846660896837803;0.846660896837803
52;0.823132301845292;0.823132301845292
53;0.808944880656212;0.808944880656212
54;0.786528910565473;0.786528910565473
55;0.777163315436821;0.777163315436821
56;0.775689792956239;0.775689792956239
57;0.78050007151312;0.78050007151312
58;0.779204091667875;0.779204091667875
59;0.785429441272928;0.785429441272928
60;0.784250694440341;0.784250694440341
61;0.790796254388984;0.790796254388984
62;0.787755092532476;0.787755092532476
63;0.787721771618267;0.787721771618267
64;0.777376168272544;0.777376168272544
65;0.781772595865397;0.781772595865397
66;0.774114484691477;0.774114484691477
67;0.787715818614095;0.787715818614095
68;0.782129791368578;0.782129791368578
69;0.778999522864534;0.778999522864534
70;0.775331961247227;0.775331961247227
71;0.783064726160778;0.783064726160778
72;0.781726769579492;0.781726769579492
73;0.777776384175866;0.777776384175866
74;0.772527844255305;0.772527844255305
75;0.778116285925929;0.778116285925929
76;0.774540356442775;0.774540356442775
77;0.772533709580332;0.772533709580332
78;0.767387698030843;0.767387698030843
79;0.770604149700323;0.770604149700323
80;0.767186057693602;0.767186057693602
81;0.770387725001303;0.770387725001303
